"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015
"특성별(1)",특성별(2),계,적극적인 의향이 있다,약간의 의향이 있다,보통이다,별로 없다,전혀 없다
"대구광역시",전체,100.0,1.7,20.6,42.9,27.3,7.5
"구군별",중구,100.0,1.7,19.2,33.5,35.5,10.1
"구군별",동구,100.0,0.5,14.6,46.6,30.8,7.5
"구군별",서구,100.0,1.0,14.5,40.0,31.3,13.2
"구군별",남구,100.0,1.6,21.3,44.4,25.1,7.6
"구군별",북구,100.0,2.2,21.7,39.4,27.8,8.9
"구군별",수성구,100.0,2.8,25.6,46.1,21.6,3.9
"구군별",달서구,100.0,1.5,21.5,42.0,27.7,7.3
"구군별",달성군,100.0,2.0,21.8,46.0,25.2,5.0
"성 별",남자,100.0,1.9,20.7,42.1,27.5,7.9
"성 별",여자,100.0,1.6,20.6,43.7,27.0,7.1
"연령별",15~19세,100.0,1.0,19.3,46.6,27.0,6.1
"연령별",20~29세,100.0,1.3,16.5,44.8,29.9,7.5
"연령별",30~39세,100.0,1.6,23.4,43.4,24.6,7.0
"연령별",40~49세,100.0,2.2,24.6,41.8,25.2,6.3
"연령별",50~59세,100.0,1.8,21.0,44.4,26.1,6.6
"연령별",60세 이상,100.0,1.8,17.7,39.4,30.7,10.3
"교육정도별",초졸 이하,100.0,0.8,13.0,35.8,36.0,14.4
"교육정도별",중졸,100.0,1.1,16.9,44.0,30.4,7.5
"교육정도별",고졸,100.0,1.6,19.4,43.7,27.8,7.5
"교육정도별",대졸 이상,100.0,2.4,25.6,44.0,22.8,5.2
"직업별",전문 관리,100.0,2.9,29.4,42.7,20.6,4.4
"직업별",사무,100.0,2.9,24.6,43.4,24.3,4.8
"직업별",서비스 판매,100.0,1.8,19.9,44.1,27.2,7.1
"직업별",기능 노무 등,100.0,1.0,18.6,40.4,30.7,9.4
"혼인상태별",미혼,100.0,1.3,18.1,43.9,29.0,7.7
"혼인상태별",배우자 있음,100.0,2.1,23.2,43.5,25.2,6.0
"혼인상태별",사별,100.0,1.4,13.7,36.5,34.9,13.5
"혼인상태별",이혼 기타,100.0,0.9,17.3,39.8,28.7,13.2
"월평균 가구소득",100만원 미만,100.0,1.1,13.9,34.7,34.1,16.1
"월평균 가구소득",100~300만원 미만,100.0,1.1,19.0,40.8,30.0,9.0
"월평균 가구소득",300~500만원 미만,100.0,2.5,24.9,43.3,23.6,5.7
"월평균 가구소득",500만원 이상,100.0,4.3,35.8,40.1,16.4,3.4
"세대 구분",1인 가구,100.0,1.6,17.0,34.4,32.3,14.8
"세대 구분",1세대 가구,100.0,2.2,20.7,40.3,28.7,8.1
"세대 구분",2세대 가구,100.0,1.9,23.8,42.6,25.0,6.7
"세대 구분",3세대 이상 가구,100.0,3.4,25.0,40.6,25.2,5.9
"거처종류",주택(단독 연립),100.0,1.3,17.8,39.8,29.7,11.3
"거처종류",아파트,100.0,2.4,24.7,41.1,25.1,6.6
"거처종류",기타,100.0,1.8,20.7,36.5,30.1,11.0
